Материал|Завод|Склад|Краткий текст материала|СвобИспользЗапас|На КонтрКачества|Блокированный запас|Партия|Номер особого запаса
1011435|SL00|4701|минисирена UPS25 1-тон|3|0|0||
1011437|SL00|4701|сирена UP-34 20W 1Т|31|0|0||
1011437|SL00|4707|сирена UP-34 20W 1Т|0|1|0||
1011439|SL00|4701|Минисирена UP-20 20Вт, 1-тон (SR-105)|3|0|0||
1011439|SL00|4707|Минисирена UP-20 20Вт, 1-тон (SR-105)|0|1|0||
1011441|SL00|4707|предохранитель авто 7,5А  JE3001|14703|0|0||
1011442|SL00|4707|Держатель предохр. JE3023(81112)с крышк.|100|0|0||
1011444|SL00|7700|манжета гофрированная TL-6005A|19|0|0||
1011445|SL00|1600|Манжета пpямая переходная КР-1 (Россия)|170|0|0||
1011445|SL00|2500|Манжета пpямая переходная КР-1 (Россия)|5|0|0||
1011445|SL00|4707|Манжета пpямая переходная КР-1 (Россия)|1190|0|0||
1011445|SL00|7700|Манжета пpямая переходная КР-1 (Россия)|120|0|0||
1011449|SL00|4707|Кольцо переходн. КР-220 д/манжеты КР-1|12|0|0||
1011450|SL00|1600|4P90750 трубка гофр. разрезн. d=6,8mm|150|0|0||
1011450|SL00|2500|4P90750 трубка гофр. разрезн. d=6,8mm|6750|0|0||
1011450|SL00|7700|4P90750 трубка гофр. разрезн. d=6,8mm|4650|0|0||
1011451|SL00|1600|4P91250 трубка гофр. разрезн. d=11,5mm|1300|0|0||
1011451|SL00|2500|4P91250 трубка гофр. разрезн. d=11,5mm|350|0|0||
1011451|SL00|4707|4P91250 трубка гофр. разрезн. d=11,5mm|1950|0|0||
1011451|SL00|7700|4P91250 трубка гофр. разрезн. d=11,5mm|1500|0|0||
1011452|SL00|4707|4P91350 трубка гофр. разрезн. d=12,7mm|700|0|0||
1011455|SL00|7700|разъем реле 5-контактный (Россия)|74|0|0||
1011456|SL00|4707|Разъем реле 5-конт. тип А с пров. 15 см|193|0|0||
