Z / PU Number,Slot,Subslot,Check in Time,Check in Operator,Location,State,Storage Unit,Storage Sub Unit,Zone State,Item State,Part Number,Lot No,Initial Quantity,Material Barcode,Estimated Current Quantity,Component Count Update,Reserved Quantity,Work Order Name,Cart Id,Splice Reel,Splice Lot Number,Splice Estimated Quantity,Splice Total Quantity,Feeder Birth Date,Components Fed,Total Components Fed,Feeder Count Update,Last Maintained,Feeder Barcode,Column_31
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1014072,1000024879,10000,1000108973,102,12/6/2019 12:07:59 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1014072,1000032537,10000,1000231749,8,5/11/2020 2:43:54 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1015210,K334330283,5000,1000228392,6,8/9/2019 11:35:48 AM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1015252,K338550254,5000,1000197236,23,3/26/2019 11:27:44 AM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1020997,K318860993,4000,1000147845,104,10/13/2018 5:58:24 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1021014,1000033192,3000,1000247316,2,6/29/2020 9:57:09 AM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1021593,K338550017,4000,1000181670,3017,3/4/2019 11:32:37 AM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1024780,K338550169,5000,1000191216,2,4/1/2019 3:31:33 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1026100,K329151533,200,1000250619,4,5/8/2020 5:47:36 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1028794,K331860141,730,1000071667,25,9/14/2017 11:40:23 AM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1030417,1000024414,5000,1000101193,16,9/12/2018 11:51:13 AM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1030420,K332960054,10000,1000078285,2,9/12/2018 11:50:23 AM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1039709,K334330623,2000,1000315653,999,6/28/2020 4:40:31 AM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1039736,K334330098,4000,1000163441,69,7/9/2019 11:04:43 AM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1041196,K338550270,3000,1000198357,2,4/1/2019 3:37:54 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1041201,K334330223,1000,1000182822,36,8/10/2019 4:33:34 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1041270,1000032681,10000,1000234396,73,6/23/2020 2:17:44 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1042015,K339560049,1585,1000198074,15,5/10/2019 12:32:11 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1042041,K338190092,100,1000197327,22,2/11/2020 4:54:45 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1042043,K338190097,100,1000197332,4,2/11/2020 5:22:44 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,1046008,K341220223,2125,1000281779,2101,2/3/2020 3:34:25 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,2000241,1000013899,805,1000022156,114,6/3/2016 10:49:29 AM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,2001291,K326411293,1550,1000304987,776,6/16/2020 3:37:14 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,2001292,K326410262,8443,1000079802,192,12/12/2019 12:52:16 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,2001494,1000014258,668,1000022366,104,6/3/2016 9:30:47 AM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,2001510,1000013914,1060,1000022151,112,6/3/2016 9:20:02 AM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,2001813,K326411251,1000,1000236925,850,6/16/2020 3:42:45 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,2001833,K327630302,1300,1000314621,16,6/22/2020 11:42:49 AM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,2003646,K323040258,295,1000079486,85,12/13/2017 3:35:23 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,2003782,K326410349,500,1000101881,390,6/16/2020 3:53:30 PM,0,,,,,0,0,,0,0,,,,0
,0,0,,,NPM-1,Unloaded Reels,,,Active,,2004224,K335460907,528,1000170203,4,4/3/2019 4:10:40 PM,0,,,,,0,0,,0,0,,,,0
